"Currency Pair","Price","Change","Change %","Timestamp"
"EUR/USD","1.0941","+0.0005","+0.04%","2024-10-13 12:41:58"
"USD/JPY","149.0900","+0.5790","+0.39%","2024-10-13 12:41:58"
"GBP/USD","1.3064","+0.0005","+0.04%","2024-10-13 12:41:58"
"AUD/USD","0.6753","+0.0010","+0.14%","2024-10-13 12:41:58"
"NZD/USD","0.6111","+0.0015","+0.24%","2024-10-13 12:41:58"
"EUR/JPY","163.1300","+0.7180","+0.44%","2024-10-13 12:41:58"
"GBP/JPY","194.8870","+1.0110","+0.52%","2024-10-13 12:41:58"
"EUR/GBP","0.8370","-0.0004","-0.04%","2024-10-13 12:41:58"
"EUR/CAD","1.5044","+0.0019","+0.13%","2024-10-13 12:41:58"
"EUR/SEK","11.3414","-0.0174","-0.15%","2024-10-13 12:41:58"
